ID_Produto,Produto,Titulo,Categoria,Descricao,Preco,Avaliacao,Disponibilidade
1,Livro,a light in the attic,poetry,Its hard to imagine a world without a light in the attic this nowclassic collection of poetry and drawings from shel silverstein celebrates its th anniversary with this special edition silversteins humorous and creative verse can amuse the dowdiest of readers.,51.77,3,In stock
2,Livro,tipping the velvet,historical fiction,Erotic and absorbingwritten with starling powerthe new york times book review nan king an oyster girl is captivated by the music hall phenomenon kitty butler a male impersonator extraordinaire treading the boards in canterbury through a friend at the box.,53.74,1,In stock
3,Livro,soumission,fiction,Dans une france assez proche de la nôtre un homme sengage dans la carrière universitaire peu motivé par lenseignement il sattend à une vie ennuyeuse mais calme protégée des grands drames historiques cependant les forces en jeu dans le pays.,50.1,1,In stock
4,Livro,sharp objects,mystery,Wicked above her hipbone girl across her heart words are like a road map to reporter camille preakers troubled past fresh from a brief stay at a psych hospital camilles first assignment from the secondrate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls nasty on her kneecap babydoll on her leg since wicked above her hipbone.,47.82,4,In stock
5,Livro,sapiens a brief history of humankind,history,From a renowned historian comes a groundbreaking narrative of humanitys creation and evolutiona international bestsellerthat explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be humanone hundred thousand years ago at least six different species of humans inhabited earth yet today there is only oneh from a renowned historian comes a groundbreaking narrative of humanitys creation and evolutiona international bestsellerthat explores the ways in.,54.23,5,In stock
6,Livro,the requiem red,young adult,Patient twentyninea monster roams the halls of soothing hills asylum three girls dead is endowed with the curseor gift of perception she hears messages in music sees lyrics in paintings and the corn a lifetime asylum resident the orchestral corn music.,22.65,1,In stock
7,Livro,the dirty little secrets of getting your dream job,business,Drawing on his extensive experience evaluating applicants for his marketing agency and featuring stories based on reallife situations sample cover letters resumes and straightforward advice don raskins the dirty little secrets of getting your dream job offers all the necessary tools for navigating the tough job market and securing your dream jobdon raskin owns and drawing on his extensive experience evaluating applicants for his marketing agency and featuring stories based on.,33.34,4,In stock
10,Livro,the black maria,poetry,Praise for aracelis girmaygirmays every lossshe calls them estrangementsis a yearning for connection across time and place her every fragment is a bulwark against ruin o the oprah magazine in aracelis girmay we have a poet who collects polishes and shares stories with such brilliant invention tenderness and intellectual liveliness that it is understandabl praise for aracelis girmaygirmays every lossshe calls them estrangementsis a yearning for connection across time and place her every fragment is a bulwark against ruin o the oprah magazine in aracelis girmay we have a poet who collects polishes and shares stories with such brilliant invention tenderness and intellectual liveliness that it is understandable that we think of her.,52.15,1,In stock
12,Livro,shakespeares sonnets,poetry,This book is an important and complete collection of the sonnets of william shakespeare most readers are aware of the great plays and manuscripts written for the stage but are unaware of the magnificent sonnets.,20.66,4,In stock
13,Livro,set me free,young adult,Aaron ledbetters future had been planned out for him since before he was born each year the ledbetter family vacation on tybee island gave aaron a chance to briefly free himself from his.,17.46,5,In stock
14,Livro,scott pilgrims precious little life scott pilgrim,sequential art,Scott pilgrims life is totally sweet hes years old hes in a rockband hes between jobs and hes dating a cute high school girl nothing could possibly go wrong unless a seriously mindblowing dangerously fashionable rollerblading.,52.29,5,In stock
15,Livro,rip it up and start again,music,Punks raw power rejuvenated rock but by the summer of the movement had become a parody of itself rip it up and start again is a celebration of what happened nextpostpunk bands like pil joy division.,35.02,5,In stock
16,Livro,our band could be your life scenes from the american indie underground,music,This is the neverbeforetold story of the musical revolution that happened right under the nose of the reagan eightieswhen a small but sprawling network of bands labels fanzines radio stations and other subversives reenergized american rock with punk rocks doityourself.,57.25,3,In stock
17,Livro,olio,poetry,Part fact part fiction tyehimba jesss much anticipated second book weaves sonnet song and narrative to examine the lives of mostly unrecorded african american performers directly before and after the civil war up to world war i olio is an effort to understand how they met resisted complicated coopted and sometimes defeated attempts to minstrelize themso while part fact part fiction tyehimba.,23.88,1,In stock
18,Livro,mesaerion the best science fiction stories,science fiction,Andrew barger awardwinning author and engineer has extensively researched forgotten journals and magazines of the early th century to locate groundbreaking science fiction short stories in the english language in doing so he found what is possibly the first science fiction story by a female and it is not from mary shelley andrew located the first steampunk short andrew barger awardwinning author and engineer has extensively researched forgotten journals and.,37.59,1,In stock
19,Livro,libertarianism for beginners,politics,Libertarianism isnt about winning elections it is first and foremost a political philosophya description of how in the opinion of libertarians free people ought to treat one another at least when they use the law which they regard as potentially dangerous if libertarians are correct the law should.,51.33,2,In stock
20,Livro,its only the himalayas,travel,Wherever you go whatever you do just dont do anything stupid my motherduring her yearlong adventure backpacking from south africa to singapore s bedford definitely did a few things her mother might classify as stupid she swam with great white sharks in south africa ran from lions in zimbabwe climbed a himalayan mountain without.,45.17,2,In stock
21,Livro,in her wake,thriller,A perfect life until she discovered it wasnt her owna tragic family event reveals devastating news that rips apart bellas comfortable existence embarking on a personal journey to uncover the truth she faces a series of traumatic discoveries.,12.84,1,In stock
22,Livro,how music works,music,How music works is david byrnes remarkable and buoyant celebration of a subject he has spent a lifetime thinking about in it he explores how profoundly music is shaped by its time and place and he explains how the advent of recording technology in the twentieth century forever changed our relationship to playing performing and listening to musicacting as historian.,37.32,2,In stock
23,Livro,foolproof preserving a guide to small batch jams jellies pickles condiments and more a foolproof guide to making small batch jams jellies pickles condiments and more,food and drink,Canning perfected the americas test kitchen way the art of preserving produce by canning and preserving has come full circle from grandmothers kitchen to a whole new generation now eager to learn it this detailed guide to home preserving is perfect.,30.52,3,In stock
24,Livro,chase me paris nights,romance,A michelin twostar chef at twentyeight violette lenoir could handle anything including a cocky burglar who broke into her restaurant in the middle of the nightor so she thoughtelite counterterrorist operative chase smith had been through things that made hell week look easy but nothing had prepared him.,25.27,5,In stock
